points_count,threads_count,nanoseconds
300000000,7,329024117
300000000,7,325846657
300000000,8,293076266
300000000,8,285261994
300000000,8,286896815
300000000,8,287907411
300000000,8,285591118
300000000,8,286574924
300000000,8,285415911
300000000,8,288227528
300000000,8,287600158
300000000,8,288151716
300000000,9,278132069
300000000,9,278987575
300000000,9,269392721
300000000,9,282377351
300000000,9,268830592
300000000,9,269032439
300000000,9,270921474
300000000,9,279222324
300000000,9,282314784
300000000,9,267429247
300000000,10,252028748
300000000,10,256562820
300000000,10,256466189
300000000,10,255169750
300000000,10,257727724
300000000,10,255547094
300000000,10,258205445
300000000,10,256721706
300000000,10,255802331
300000000,10,254228303
300000000,11,231942146
300000000,11,233427328
300000000,11,237015213
300000000,11,255736338
300000000,11,240291577
300000000,11,233232494
300000000,11,235996412
300000000,11,171493987
300000000,11,124586535
300000000,11,130542459
300000000,12,115438434
300000000,12,129216595
300000000,12,115677250
300000000,12,117065120
300000000,12,116121298
300000000,12,121357419
300000000,12,115230216
300000000,12,116028825
300000000,12,116481841
300000000,12,116123372
400000000,2,562013777
400000000,2,560009247
400000000,2,560813258
400000000,2,564884775
400000000,2,563846027
400000000,2,563797776
400000000,2,564749702
400000000,2,561201833
400000000,2,562648432
400000000,2,565714123
400000000,3,376078433
400000000,3,374960907
400000000,3,380081753
400000000,3,383327940
400000000,3,380616771
400000000,3,380575544
400000000,3,377713503
400000000,3,377674911
400000000,3,378966661
400000000,3,376497223
400000000,4,297129029
400000000,4,291913225
400000000,4,292060811
400000000,4,293257254
400000000,4,293862964
400000000,4,293532858
400000000,4,292460566
400000000,4,296279342
400000000,4,291964721
400000000,4,292864601
400000000,5,252728245
400000000,5,253522156
400000000,5,253892227
400000000,5,249684685
400000000,5,253221725
400000000,5,252115341
400000000,5,251586484
400000000,5,248501918
400000000,5,253558223
400000000,5,253546932
400000000,6,236084647
400000000,6,224615003
400000000,6,223307163
400000000,6,224939299
400000000,6,228593327
400000000,6,223814319
400000000,6,223452695
400000000,6,347932580
400000000,6,368442884
400000000,6,379771374
400000000,7,436751902
400000000,7,429009775
400000000,7,429058345
400000000,7,430115649
400000000,7,429747331
400000000,7,428061937
400000000,7,428144581
400000000,7,429914934
400000000,7,430509002
400000000,7,432006958
400000000,8,376232730
400000000,8,383398272
400000000,8,380246961
400000000,8,392459280
400000000,8,382452557
400000000,8,377189876
400000000,8,414073242
400000000,8,383076691
400000000,8,381901338
400000000,8,383397490
400000000,9,351360017
400000000,9,361295106
400000000,9,351325852
400000000,9,368273217
400000000,9,361816057
400000000,9,370694946
400000000,9,362003738
400000000,9,358890609
400000000,9,371548308
400000000,9,355781097
400000000,10,337596703
400000000,10,340181787
400000000,10,337953579
400000000,10,341560340
400000000,10,335939681
400000000,10,338941222
400000000,10,337246380
400000000,10,338683321
400000000,10,339750823
400000000,10,336439324
400000000,11,313351370
400000000,11,311286347
400000000,11,312903665
400000000,11,314383907
400000000,11,313687398
400000000,11,313486132
400000000,11,316594301
400000000,11,308979392
400000000,11,312883537
400000000,11,309048341
400000000,12,294019065
400000000,12,297089124
400000000,12,287740128
400000000,12,289390829
400000000,12,287968694
400000000,12,297469494
400000000,12,287807304
400000000,12,286488062
400000000,12,302214889
400000000,12,284277056
500000000,2,1347240272
500000000,2,1355069902
500000000,2,1350235701
500000000,2,1347672919
500000000,2,1347715849
500000000,2,1347545802
500000000,2,1349332556
500000000,2,1355469087
500000000,2,1349434777
500000000,2,1348834647
500000000,3,650303020
500000000,3,467247138
500000000,3,468004541
500000000,3,468606745
500000000,3,469892364
500000000,3,469224929
500000000,3,468964102
500000000,3,468602056
500000000,3,467024001
500000000,3,466971694
500000000,4,351202633
500000000,4,351006256
500000000,4,351218773
500000000,4,351223352
500000000,4,353540315
500000000,4,351894604
500000000,4,351292090
500000000,4,352114093
500000000,4,352284472
500000000,4,352567690
500000000,5,283104007
500000000,5,283578082
500000000,5,283270057
500000000,5,289354921
500000000,5,307987110
500000000,5,315310656
500000000,5,310838140
500000000,5,308004182
500000000,5,306073670
500000000,5,306712282
500000000,6,277217582
500000000,6,277091227
500000000,6,283500777
500000000,6,277706996
500000000,6,273246733
500000000,6,277111675
500000000,6,272783639
500000000,6,323020443
500000000,6,355008435
500000000,6,292926095
500000000,7,316488514
500000000,7,317855114
500000000,7,318457148
500000000,7,318938105
500000000,7,315573717
500000000,7,315858950
500000000,7,321821416
500000000,7,316262643
500000000,7,316613046
500000000,7,317766730
500000000,8,302156130
500000000,8,300728215
500000000,8,282122415
500000000,8,400285274
500000000,8,470989021
500000000,8,471199463
500000000,8,473564917
500000000,8,471985339
500000000,8,470051040
500000000,8,479814650
500000000,9,436829256
500000000,9,437919821
500000000,9,454928271
500000000,9,444873557
500000000,9,435668530
500000000,9,446064380
500000000,9,437619461
500000000,9,440969031
500000000,9,469941616
500000000,9,438546320
500000000,10,419415131
500000000,10,414651081
500000000,10,415728030
500000000,10,416779282
500000000,10,415763216
500000000,10,419590648
500000000,10,428667597
500000000,10,426942106
500000000,10,415509643
500000000,10,420315331
500000000,11,389172957
500000000,11,387130346
500000000,11,393248582
500000000,11,385762563
500000000,11,388217575
500000000,11,388009416
500000000,11,387713414
500000000,11,403359480
500000000,11,390585704
500000000,11,388302032
500000000,12,355369138
500000000,12,392445313
500000000,12,356815046
500000000,12,355736804
500000000,12,375165659
500000000,12,355459847
500000000,12,381485622
500000000,12,356947212
500000000,12,355985377
500000000,12,355510972
600000000,2,1616613166
600000000,2,1616258564
600000000,2,1615239953
600000000,2,1617215038
600000000,2,1615673943
600000000,2,1620642554
600000000,2,1616691692
600000000,2,1616048943
600000000,2,1616231704
600000000,2,1616811346
600000000,3,962181993
600000000,3,560556268
600000000,3,560243454
600000000,3,560205273
600000000,3,560148487
600000000,3,559970866
600000000,3,560426595
600000000,3,560153757
600000000,3,561085856
600000000,3,562912294
600000000,4,421993342
600000000,4,423124693
600000000,4,420275166
600000000,4,419735278
600000000,4,420721498
600000000,4,421389846
600000000,4,419794629
600000000,4,420144282
600000000,4,421277967
600000000,4,433202138
600000000,5,368927989
600000000,5,369235843
600000000,5,368970639
600000000,5,376238130
600000000,5,370677714
600000000,5,370662817
600000000,5,371624471
600000000,5,369788795
600000000,5,370493330
600000000,5,370798239
600000000,6,333472698
600000000,6,328329000
600000000,6,332232654
600000000,6,329793623
600000000,6,327251478
600000000,6,336377037
600000000,6,333646873
600000000,6,330837611
600000000,6,333851985
600000000,6,329479856
600000000,7,378225308
600000000,7,380866597
600000000,7,379277753
600000000,7,379718675
600000000,7,538486394
600000000,7,643002747
600000000,7,646446944
600000000,7,643271349
600000000,7,641007253
600000000,7,643869544
600000000,8,558990666
600000000,8,559979572
600000000,8,561028609
600000000,8,566308061
600000000,8,563661603
600000000,8,564430126
600000000,8,565158766
600000000,8,561431801
600000000,8,564906065
600000000,8,564337774
600000000,9,513202313
600000000,9,515984594
600000000,9,509901753
600000000,9,529150292
600000000,9,515061472
600000000,9,535908063
600000000,9,525919112
600000000,9,520045583
600000000,9,516857874
600000000,9,525100094
600000000,10,497012572
600000000,10,499070292
600000000,10,500209207
600000000,10,508753231
600000000,10,507325937
600000000,10,497267487
600000000,10,497094995
600000000,10,502926497
600000000,10,499149279
600000000,10,501043404
600000000,11,461021611
600000000,11,464607171
600000000,11,476764808
600000000,11,466004239
600000000,11,463203382
600000000,11,463614269
600000000,11,462742733
600000000,11,479592635
600000000,11,470302489
600000000,11,463630869
600000000,12,424166377
600000000,12,429287423
600000000,12,427973531
600000000,12,428131236
600000000,12,429310967
600000000,12,435695601
600000000,12,444786445
600000000,12,426848402
600000000,12,435668130
600000000,12,430634838
700000000,2,1886068513
700000000,2,1888052436
700000000,2,1885895801
700000000,2,1885325587
700000000,2,1169352814
700000000,2,976760326
700000000,2,976775565
700000000,2,978696710
700000000,2,976894221
700000000,2,979874668
700000000,3,652717285
700000000,3,662678523
700000000,3,661677385
700000000,3,651705817
700000000,3,651431766
700000000,3,659730733
700000000,3,651418231
700000000,3,651316230
700000000,3,654426595
700000000,3,655712253
700000000,4,490427053
700000000,4,489563842
700000000,4,490950750
700000000,4,489536922
700000000,4,490429938
700000000,4,490672291
